Class,AreaABD,AspectRatio,AverageBlue,AverageGreen,AverageRed,BiovolumeCylinder,BiovolumeP.Spheroid,BiovolumeSphere,Circularity,CircularityHu,Compactness,ConvexPerimeter,Convexity,DiameterABD,DiameterESD,GeodesicAspectRatio,GeodesicLength,GeodesicThickness,Length,OriginalReferenceID,RatioBlue/Green,RatioRed/Blue,RatioRed/Green,SigmaIntensity,Symmetry,Timestamp,VolumeABD,Width
Tetrahymena,586.2473,0.4106,118.6756,121.3043,121.3913,16496.9201,5791.479,10677.8801,0.6645,0.6798,1.5049,119.9504,0.9902,27.3209,34.4788,0.4364,47.9576,20.928,46.41,B81F7F11-1D5B-44BA-A78E-EB4BBDF63F10,0.9783,1.0229,1.0007,16.063,0.7637,2019-11-11T09:34:59.802,1.07E+04,17.29
Tetrahymena,642.6115,0.4072,89.9034,93.676,97.5576,21017.1567,6089.0357,12254.2431,0.735,0.6967,1.3606,122.0483,1,28.6042,35.1362,0.5957,42.2485,25.1673,50.05,5C7DA773-32F0-4F1F-98E7-AE7324B998E4,0.9597,1.0851,1.0414,22.792,0.8666,2019-11-11T09:34:59.802,1.23E+04,15.47
Tetrahymena,435.9042,0.4042,90.1255,95.3682,97.8159,12970.4049,3162.1226,6846.2124,0.7191,0.6932,1.3907,104.2838,1,23.5587,29.4738,0.5497,37.9505,20.8604,42.77,E7E3E911-D75F-41DF-8AF1-C5D88FBAACCF,0.945,1.0853,1.0257,22.4048,0.8285,2019-11-11T09:34:59.802,6.85E+03,11.83
Tetrahymena,299.1151,0.818,98.9121,108.1813,109.3846,8203.0708,3351.1728,3891.5379,0.9909,0.9791,1.0091,76.8162,1,19.5153,20.6772,1,21.8589,21.8589,24.57,23A22BB3-8B28-41DB-AA61-AE3927157823,0.9143,1.1059,1.0111,22.1284,0.9351,2019-11-11T09:34:59.802,3.89E+03,17.29
Tetrahymena,404.1065,0.4555,101.1593,102.5265,104.3673,16013.3001,3154.6732,6110.9339,0.7878,0.7534,1.2694,97.057,1,22.6831,27.3,1,27.3189,27.3189,39.13,DDA2C009-D773-46ED-9920-CC8912B3608E,0.9867,1.0317,1.018,20.1638,0.8845,2019-11-11T09:34:59.802,6.11E+03,13.65
Tetrahymena,522.9528,0.4067,116.5,111.9526,112.5146,16071.6078,4341.4132,8996.1685,0.723,0.6948,1.3832,112.3018,1,25.804,31.9512,0.5601,40.2548,22.5463,46.41,D3D70EC5-AEB3-4BA0-AD6C-7408A32522B2,1.0406,0.9658,1.005,19.9517,0.814,2019-11-11T09:34:59.802,9.00E+03,15.47
Tetrahymena,455.6238,0.5169,109.1984,113.8016,113.7571,16602.8714,4386.1821,7315.9957,0.8405,0.8111,1.1898,98.3979,1,24.0856,27.6034,1,27.6502,27.6502,37.31,502D91FC-0DF1-4A52-BBB6-151A6716DE56,0.9596,1.0417,0.9996,20.6708,0.9073,2019-11-11T09:34:59.912,7.32E+03,13.65
Tetrahymena,629.7505,0.3784,87.6203,91.5601,96.4589,18572.5817,5494.9365,11888.2117,0.6922,0.6596,1.4446,124.0683,1,28.3165,35.5912,0.4876,46.3316,22.5919,51.87,759259F8-0921-47BE-8FF5-934B7B49B3A8,0.957,1.1009,1.0535,22.8153,0.8315,2019-11-11T09:34:59.912,1.19E+04,13.65
Tetrahymena,450.6835,0.3878,90.3837,95.249,98.2041,13235.7868,3266.5967,7197.3278,0.7065,0.6718,1.4155,106.9734,1,23.9547,30.3334,0.5186,39.7209,20.5978,42.77,14F2CF6E-A6DF-4DB8-B1D2-A6F8B13FF976,0.9489,1.0865,1.031,23.2391,0.8938,2019-11-11T09:34:59.912,7.20E+03,13.65
Tetrahymena,668.4189,0.477,115.4169,123.3927,124.6798,27545.7939,7488.8062,12999.8074,0.8037,0.7757,1.2443,118.4995,1,29.1729,33.9734,1,32.7332,32.7332,46.41,522962AC-8F18-4866-95A9-43E0AEFAA8BA,0.9354,1.0803,1.0104,9.4601,0.8273,2019-11-11T09:34:59.912,1.30E+04,19.11
Tetrahymena,423.6372,0.4324,100.9444,103.765,107.7863,16471.0795,3238.0282,6559.2605,0.7848,0.7269,1.2743,100.1501,1,23.2248,27.9572,0.9445,28.6474,27.0566,39.13,28E451ED-7794-4BC2-8781-519132D6DA72,0.9728,1.0678,1.0388,19.4829,0.8194,2019-11-11T09:34:59.912,6.56E+03,11.83
Tetrahymena,505.3885,0.3868,113.8165,108.9026,109.7004,16246.6125,3876.3859,8546.7654,0.7418,0.6711,1.3481,111.0844,1,25.3669,31.5972,0.6186,37.8125,23.3894,44.59,9CFBAE3C-6E9B-440F-8AC5-EB2FBC4D865B,1.0451,0.9638,1.0073,22.3917,0.8449,2019-11-11T09:34:59.912,8.55E+03,13.65
Tetrahymena,586.2473,0.4884,118.913,122.1438,121.4515,17314.7778,6323.9845,10677.8801,0.6983,0.7795,1.4321,114.399,1,27.3209,32.5072,0.5003,44.4939,22.2594,44.59,4B97A160-8091-4C33-87D2-AAEE57E6D746,0.9735,1.0213,0.9943,14.2718,0.7325,2019-11-11T09:35:00.023,1.07E+04,19.11
Tetrahymena,650.3419,0.4033,89.7623,93.1111,97.6142,19748.7547,6185.2993,12476.0292,0.7034,0.6902,1.4218,123.497,1,28.7757,35.5912,0.5115,45.8064,23.4294,51.87,D5D9F3F6-602D-43D7-A987-70D911BE1170,0.964,1.0875,1.0484,22.2989,0.8277,2019-11-11T09:35:00.023,1.25E+04,17.29
Tetrahymena,418.7432,0.5153,70.4698,74.5259,79.6422,14648.0167,3773.6505,6445.9278,0.8582,0.8141,1.1652,94.8351,1,23.0903,26.2888,1,26.5194,26.5194,37.31,9F01A3E4-1ED8-458D-A991-4B844178D012,0.9456,1.1302,1.0687,22.2911,0.8546,2019-11-11T09:35:00.023,6.45E+03,15.47
Tetrahymena,458.0965,0.3667,90.6976,94.8548,97.7661,12760.9167,3149.2361,7375.6335,0.6806,0.6449,1.4693,109.7025,1,24.1509,31.1422,0.4649,42.2059,19.6205,46.41,98C93C6F-C0B9-40FF-9C58-1A72BA55DC81,0.9562,1.0779,1.0307,24.2242,0.848,2019-11-11T09:35:00.023,7.38E+03,13.65
Tetrahymena,650.3419,0.4513,116.8673,125.0617,127.0123,21545.9986,6923.984,12476.0292,0.7373,0.7452,1.3563,119.6779,1,28.7757,34.1756,0.6032,42.245,25.483,46.41,D8CADE66-9639-4A31-9911-B9C2CE56DE4F,0.9345,1.0868,1.0156,8.0544,0.8769,2019-11-11T09:35:00.023,1.25E+04,17.29
Tetrahymena,426.0869,0.4187,103.2553,103.9532,104.2255,15051.9132,3151.5647,6616.2379,0.7732,0.7117,1.2933,101.2635,1,23.2919,28.21,0.7787,31.6169,24.6202,39.13,D9BA9D3F-D865-43E9-A81D-4641AB7C86CF,0.9933,1.0094,1.0026,19.5006,0.8702,2019-11-11T09:35:00.023,6.62E+03,11.83
Tetrahymena,492.8877,0.3948,114.0038,109.1794,110.8206,14938.6774,3784.2179,8231.6295,0.7205,0.6824,1.3879,109.5613,1,25.0512,31.0412,0.5535,39.5973,21.9169,44.59,71C10335-F4CD-47CF-B04D-DAD225496305,1.0442,0.9721,1.015,21.3737,0.897,2019-11-11T09:35:00.023,8.23E+03,13.65
Tetrahymena,360.6283,0.4555,130.1923,132.1538,129.8269,13352.4816,2612.5554,5151.734,0.7824,0.7531,1.2781,93.2637,1,21.4282,25.935,0.8837,27.9216,24.6755,35.49,A171B7BA-B16F-44A4-B350-720F70EEC39F,0.9852,0.9972,0.9824,11.2977,0.8612,2019-11-11T09:35:00.136,5.15E+03,11.83
Tetrahymena,764.8242,0.4117,124.3967,128.0489,127.1223,24438.2039,8186.4779,15911.3205,0.7131,0.702,1.4022,131.6981,1,31.2058,38.0178,0.5345,47.7531,25.5264,53.69,1D4C72E0-74F9-492A-87C8-055EC2FF51C2,0.9715,1.0219,0.9928,11.0468,0.849,2019-11-11T09:35:00.136,1.59E+04,17.29
Tetrahymena,647.7639,0.3948,87.2539,91.4706,94.4954,20831.0211,5986.8433,12401.9205,0.728,0.6815,1.3736,123.819,1,28.7186,35.7934,0.5744,43.1589,24.7899,51.87,01350372-E381-438A-86D4-1C86A98FF2C9,0.9539,1.083,1.0331,24.1212,0.8528,2019-11-11T09:35:00.136,1.24E+04,15.47
Tetrahymena,746.4808,0.3261,86.7258,91.0554,95.3878,20067.2083,6366.2372,15342.3468,0.6259,0.5862,1.5978,139.5154,1,30.8294,40.8994,0.3787,56.2737,21.3081,59.15,CA118266-1C2F-4C11-AB52-F9A0AEDA39B6,0.9525,1.0999,1.0476,18.9295,0.7939,2019-11-11T09:35:00.136,1.53E+04,15.47
Tetrahymena,455.6238,0.3636,91.2227,95.6518,99.0162,13936.226,3658.7512,7315.9957,0.6724,0.6405,1.4871,114.0248,1,24.0856,32.6588,0.4501,44.4119,19.9884,48.23,C477F03E-A621-403D-B6F9-12EFE32BB5E9,0.9537,1.0854,1.0352,23.6637,0.8817,2019-11-11T09:35:00.136,7.32E+03,13.65
Tetrahymena,645.1871,0.4885,115.1677,123.4224,124.7205,26764.9507,7448.4853,12327.9917,0.8093,0.7878,1.2356,116.4229,1,28.6614,33.215,1,32.4209,32.4209,44.59,E7521669-6FD4-4801-BAE0-227B928DEA72,0.9331,1.0829,1.0105,9.8785,0.9055,2019-11-11T09:35:00.136,1.23E+04,17.29
Tetrahymena,404.1065,0.4259,100.4248,100.9204,102.6814,14152.2235,2935.7518,6110.9339,0.7726,0.7203,1.2943,98.3204,1,22.6831,27.3506,0.774,31.1005,24.0704,39.13,66B8DD3E-B4F3-45E2-83FD-1DCBC76A93C9,0.9951,1.0225,1.0174,21.3637,0.7705,2019-11-11T09:35:00.136,6.11E+03,13.65
Tetrahymena,533.0218,0.3954,114.3921,111.3525,111.9353,17010.2743,4323.0127,9257.2353,0.7365,0.6831,1.3577,113.1117,1,26.0512,32.2544,0.6007,39.152,23.5198,46.41,986C4EA6-90B9-4CA9-A0B1-AF26C0E48E33,1.0273,0.9785,1.0052,22.6562,0.8659,2019-11-11T09:35:00.136,9.26E+03,13.65
Tetrahymena,480.4259,0.3522,132.5603,134.9144,134.5837,12379.7577,3220.9685,7921.4281,0.643,0.624,1.5552,113.8108,1,24.7325,32.5072,0.4027,45.9758,18.516,48.23,667BF368-E025-4793-929C-E1B5E1C888D9,0.9826,1.0153,0.9975,8.2702,0.8477,2019-11-11T09:35:00.245,7.92E+03,13.65
