Class,AreaABD,AspectRatio,AverageBlue,AverageGreen,AverageRed,BiovolumeCylinder,BiovolumeP.Spheroid,BiovolumeSphere,Circularity,CircularityHu,Compactness,ConvexPerimeter,Convexity,DiameterABD,DiameterESD,GeodesicAspectRatio,GeodesicLength,GeodesicThickness,Length,OriginalReferenceID,RatioBlue/Green,RatioRed/Blue,RatioRed/Green,SigmaIntensity,Symmetry,Timestamp,VolumeABD,Width
4XEuplotes,5595.5516,0.585,93.482,100.5052,104.6439,201164.8453,282007.5824,314867.7341,0.3779,0.8502,2.6465,355.666,0.8901,84.4066,109.5538,0.1626,213.2173,34.6593,148.33,6B4BCC43-5C36-4992-A495-8406535D824B,0.9301,1.1194,1.0412,29.8525,0.6873,2019-11-11T09:11:36.034,3.15E+05,75.53
4XEuplotes,5767.7742,0.3945,77.6612,84.5742,87.6842,236321.0489,228247.3251,329515.7515,0.4451,0.674,2.2468,371.3024,0.9454,85.6957,114.3062,0.2061,192.0607,39.581,155.61,0490C2B4-0580-448C-B728-343EEB55F56A,0.9183,1.1291,1.0368,33.1959,0.6936,2019-11-11T09:11:45.569,3.30E+05,57.33
4XEuplotes,5782.8923,0.3758,88.3752,92.8535,94.0115,201027.2674,198645.1781,330812.1566,0.4158,0.6438,2.4047,367.5716,0.8686,85.808,113.3962,0.1863,194.6648,36.2609,151.97,33DD82D8-C6B3-43F6-AEB1-66B0238DD3FF,0.9518,1.0638,1.0125,32.6552,0.6128,2019-11-11T09:11:50.211,3.31E+05,59.15
4XEuplotes,5801.0363,0.5342,82.9081,90.7768,95.1218,193749.8961,256067.597,332370.2761,0.38,0.8091,2.6313,338.9326,0.9036,85.9425,103.9928,0.1639,209.437,34.3201,133.77,DC0E8787-DAD4-471C-9DA1-B42C2E0C3E86,0.9133,1.1473,1.0479,30.6855,0.5669,2019-11-11T09:11:31.390,3.32E+05,68.25
4XEuplotes,5900.8721,0.6797,97.4531,104.3543,107.1743,167002.6212,332936.9651,340987.2228,0.2736,0.8789,3.6555,350.7963,0.849,86.6789,107.9866,0.1066,265.4228,28.304,131.95,2631E492-4CE0-4A3A-A015-BAD1B860DA7C,0.9339,1.0998,1.027,25.727,0.751,2019-11-11T09:12:03.260,3.41E+05,71.89
4XEuplotes,6006.8383,0.5835,92.0549,97.2374,101.0636,168127.2843,322034.515,350213.3607,0.2538,0.8244,3.9397,370.384,0.8305,87.4537,114.1544,0.0973,282.8155,27.512,142.87,A2BBCC29-99FE-4B92-8256-13C46F11E747,0.9467,1.0979,1.0393,31.1667,0.7049,2019-11-11T09:11:43.185,3.50E+05,73.71
4XEuplotes,6073.4867,0.5299,84.4331,90.9078,95.3628,144776.626,369123.9629,356058.1476,0.1554,0.7625,6.4333,413.2497,0.7576,87.9375,127.8044,0.0551,393.1364,21.6537,161.07,3AF7A1BC-A815-4878-A3C2-A49A3B414B29,0.9288,1.1294,1.049,32.3601,0.3411,2019-11-11T09:11:25.242,3.56E+05,86.45
4XEuplotes,6143.1979,0.5507,79.4453,85.1016,89.4752,176529.1072,333441.3343,362205.9347,0.2444,0.8051,4.0919,385.6933,0.8456,88.4407,119.1088,0.0929,296.3743,27.5387,153.79,68F585C3-3294-4AA4-A555-39BB8E805A45,0.9335,1.1262,1.0514,31.8597,0.5909,2019-11-11T09:12:03.010,3.62E+05,71.89
4XEuplotes,6161.389,0.6738,86.8901,92.0162,95.1937,218433.0251,353362.4496,363815.9568,0.371,0.8829,2.6957,354.2055,0.872,88.5716,109.2,0.1585,222.9028,35.3229,133.77,825C5DC7-7144-43ED-AC24-C3B09312C530,0.9443,1.0956,1.0345,31.7646,0.639,2019-11-11T09:11:28.881,3.64E+05,73.71
4XEuplotes,6209.9096,0.6011,102.466,110.2759,112.7509,191968.6912,344716.3019,368121.9537,0.2869,0.8423,3.4856,346.4929,0.9286,88.9196,106.47,0.1132,267.2543,30.2418,133.77,BFE321D6-18FC-439A-BBA0-250F3B23DB43,0.9292,1.1004,1.0224,25.0208,0.6561,2019-11-11T09:11:42.934,3.68E+05,71.89
4XEuplotes,6361.6388,0.6172,86.72,94.9449,98.3578,191711.2428,345037.1056,381695.7411,0.2925,0.8523,3.4185,357.8102,0.8836,89.9994,110.0594,0.116,262.8091,30.476,135.59,B4C4D2BA-3074-46F2-B1CF-5073E925F037,0.9134,1.1342,1.0359,27.7515,0.4859,2019-11-11T09:12:21.829,3.82E+05,71.89
4XEuplotes,6486.1698,0.6282,96.6506,102.3326,105.2119,216727.9078,371672.4164,392958.1197,0.3086,0.8762,3.24,368.137,0.8714,90.876,113.2444,0.1242,261.5986,32.4784,139.23,2519AA3A-C114-4FCB-AE53-8FC92C82E302,0.9445,1.0886,1.0281,29.1213,0.8008,2019-11-11T09:11:24.490,3.93E+05,80.99
4XEuplotes,6577.3528,0.6337,91.4328,97.2512,100.8795,189563.0683,406466.5439,401273.5219,0.2351,0.8546,4.2528,381.306,0.8626,91.5125,117.5922,0.0887,313.0036,27.7688,150.15,06BB45C3-2028-4655-B96A-DFBFDFE14499,0.9402,1.1033,1.0373,33.0691,0.7329,2019-11-11T09:11:31.014,4.01E+05,73.71
4XEuplotes,6589.5145,0.6236,85.6514,92.8645,96.6281,419331.9564,375749.3698,402386.9826,0.6625,0.886,1.5094,347.1419,0.9819,91.5971,106.8744,0.4331,141.7121,61.3805,130.13,A3FC7767-DC53-4934-98BD-7CB19F419340,0.9223,1.1282,1.0405,29.1594,0.7304,2019-11-11T09:11:31.014,4.02E+05,73.71
4XEuplotes,6626.005,0.6141,109.9418,114.1315,116.0118,361757.4828,394611.0232,405734.0358,0.5492,0.8783,1.8207,354.4541,0.9695,91.8504,108.9978,0.2917,175.5891,51.2171,133.77,1E643F94-D593-41E0-8A7C-91AD0ABEB3F0,0.9633,1.0552,1.0165,25.7296,0.6039,2019-11-11T09:11:30.261,4.06E+05,73.71
4XEuplotes,6699.0108,0.4893,89.8619,98.1852,102.1197,223801.7001,323461.2463,412458.078,0.32,0.769,3.1248,386.5129,0.8912,92.355,119.1594,0.1301,256.3017,33.3435,155.61,C6721288-1A9A-4B7A-A4A6-8F36834B11CC,0.9152,1.1364,1.0401,28.6256,0.6372,2019-11-11T09:12:03.384,4.12E+05,70.07
4XEuplotes,6769.005,0.514,94.9496,102.1112,105.831,379272.9386,348294.2197,418939.2547,0.5851,0.8042,1.7091,370.7293,0.9613,92.8362,114.4578,0.3289,164.6545,54.1557,146.51,AAC6EB20-30A7-4664-92ED-73EE8CB197FF,0.9299,1.1146,1.0364,29.4048,0.7815,2019-11-11T09:11:55.355,4.19E+05,68.25
4XEuplotes,6845.119,0.6502,112.7292,117.7624,119.6348,292599.2361,435126.0361,426025.2182,0.4164,0.8714,2.4013,357.5659,0.9467,93.3567,110.1606,0.1867,220.3012,41.1228,131.95,F83CDF0A-9305-4EC7-AA7E-FFCB4A3489C8,0.9573,1.0613,1.0159,24.5743,0.4216,2019-11-11T09:11:40.677,4.26E+05,77.35
4XEuplotes,6948.6888,0.5324,82.8076,90.6527,94.284,169791.9882,364210.2115,435730.6313,0.2004,0.7799,4.9905,379.0387,0.873,94.0603,116.6822,0.0735,342.0327,25.1408,150.15,F43FA4EE-7DAB-44B7-8705-719DCD5ABE12,0.9135,1.1386,1.0401,27.5263,0.4104,2019-11-11T09:12:11.415,4.36E+05,70.07
4XEuplotes,7125.5087,0.5918,99.8518,105.9732,109.3524,237224.0631,430645.9962,452467.729,0.2761,0.8495,3.6219,385.069,0.9219,95.2496,118.9572,0.1079,296.0935,31.9389,155.61,D3D31777-2AD8-4FB0-8FA3-24FFB58AC4D7,0.9422,1.0951,1.0319,28.7339,0.6458,2019-11-11T09:11:30.889,4.52E+05,77.35
4XEuplotes,7125.5087,0.6251,94.0363,101.7485,104.3674,244567.3987,392223.3737,452467.729,0.3555,0.8605,2.8127,369.1535,0.8907,95.2496,113.75,0.1495,240.5779,35.9771,142.87,C0774361-1CC6-4462-A980-0E0E0673D0EA,0.9242,1.1099,1.0257,27.8885,0.4712,2019-11-11T09:11:51.718,4.52E+05,75.53
4XEuplotes,7165.1648,0.5478,90.6831,98.589,103.0631,168806.8772,373800.664,456250.2071,0.1908,0.7995,5.2404,406.2542,0.7828,95.5142,125.58,0.0695,354.4431,24.625,161.07,F92C81A0-3876-48F5-AABC-CAFCF375DAA8,0.9198,1.1365,1.0454,29.3641,0.4255,2019-11-11T09:11:45.820,4.56E+05,77.35
4XEuplotes,7165.1648,0.5614,94.9035,102.7212,106.1337,385395.2938,412510.8578,456250.2071,0.5337,0.8413,1.8737,368.9255,0.9723,95.5142,113.6488,0.2771,185.5904,51.4198,142.87,60DB0EBF-23DB-43FC-97DC-89A02D0D40FC,0.9239,1.1183,1.0332,28.0747,0.6466,2019-11-11T09:12:04.891,4.56E+05,73.71
4XEuplotes,7287.2377,0.5812,97.3274,103.6243,106.3498,202076.0339,401049.4956,467959.4294,0.2483,0.82,4.0268,395.9053,0.8398,96.3244,122.395,0.0947,306.0596,28.9941,150.15,DA2A6DEB-0F5D-4CE7-A641-C70F5E25F491,0.9392,1.0927,1.0263,29.1603,0.5164,2019-11-11T09:11:50.211,4.68E+05,73.71
4XEuplotes,7488.8324,0.6869,106.3633,111.6525,113.9356,233820.9533,454630.8987,487511.6147,0.2997,0.882,3.3362,368.8012,0.9049,97.6477,113.8006,0.1196,275.0764,32.898,137.41,2DCC9FF7-A9AC-4B57-BD66-7C657924D631,0.9526,1.0712,1.0204,25.1119,0.5435,2019-11-11T09:12:11.289,4.88E+05,80.99
